"","GENE (up)","N (up)","Exclusion (up)","Exclusion seed (up)","Post-treatment (up)","Functional immune resistance (up)","CDK7.targets","GENE (down)","N (down)","Exclusion (down)","Exclusion seed (down)","Post-treatment (down)","Functional immune resistance (down)"
"1","BZW2",3,1,1,1,0,0,"AHNAK",3,1,0,1,1
"2","CCT3",3,1,1,1,0,0,"APOD",3,1,0,1,1
"3","CDK4",3,1,1,1,0,0,"ATP1A1",3,1,0,1,1
"4","GPATCH4",3,1,1,1,0,1,"B2M",3,1,0,1,1
"5","ISYNA1",3,1,1,1,0,0,"CD44",3,1,0,1,1
"6","MDH2",3,1,1,1,0,0,"CD63",3,1,0,1,1
"7","PPIA",3,1,0,1,1,0,"CTSB",3,1,0,1,1
"8","RPL31",3,1,0,1,1,1,"CTSD",3,1,0,1,1
"9","RPL37A",3,1,0,1,1,0,"FOS",3,1,0,1,1
"10","RPL41",3,1,0,1,1,1,"GRN",3,1,0,1,1
"11","RPS21",3,1,0,1,1,0,"HLA-A",3,1,0,1,1
"12","RPS27A",3,1,0,1,1,0,"HLA-B",3,1,0,1,1
"13","RUVBL2",3,1,1,1,0,0,"HLA-C",3,1,0,1,1
"14","SAE1",3,1,0,1,1,0,"HLA-E",3,1,0,1,1
"15","UBA52",3,1,0,1,1,0,"HLA-H",3,1,0,1,1
"16","AHCY",2,1,1,0,0,0,"LAMP2",3,1,0,1,1
"17","C17orf76-AS1",2,1,0,1,0,0,"LGALS3",3,1,0,1,1
"18","C19orf48",2,1,0,0,1,1,"LGALS3BP",3,1,0,1,1
"19","C1QBP",2,1,0,1,0,0,"NPC2",3,1,0,1,1
"20","CCT6A",2,1,1,0,0,0,"PSAP",3,1,0,1,1
"21","CHCHD2",2,1,0,0,1,0,"SERPINE2",3,1,0,1,1
"22","CTPS1",2,1,0,1,0,0,"TAPBP",3,1,0,1,1
"23","EEF1G",2,1,0,1,0,0,"TIMP2",3,1,0,1,1
"24","EIF2S3",2,1,0,1,0,0,"A2M",2,1,0,1,0
"25","EIF3K",2,1,0,1,0,0,"ACSL3",2,1,0,1,0
"26","EIF4A1",2,1,0,1,0,1,"AEBP1",2,1,0,1,0
"27","FARSA",2,1,0,0,1,0,"AGA",2,1,0,1,0
"28","FBL",2,1,0,1,0,0,"APOC2",2,1,1,0,0
"29","FKBP4",2,1,1,0,0,0,"APOE",2,1,0,1,0
"30","GAS5",2,1,0,1,0,0,"ATP1B1",2,1,0,1,0
"31","GNB2L1",2,1,0,1,0,0,"CD151",2,1,0,1,0
"32","GPI",2,1,0,1,0,0,"CD47",2,1,0,1,0
"33","HNRNPA1",2,1,0,1,0,0,"CD58",2,1,0,1,0
"34","HNRNPC",2,1,0,1,0,0,"CD59",2,1,0,1,0
"35","IDH2",2,1,0,1,0,0,"CDH19",2,1,0,1,0
"36","ILF2",2,1,0,1,0,0,"CSPG4",2,1,0,1,0
"37","NACA",2,1,0,1,0,0,"CST3",2,1,0,1,0
"38","NCL",2,1,0,1,0,0,"CTSA",2,1,0,1,0
"39","NME1",2,1,1,0,0,1,"CTSL1",2,1,0,1,0
"40","NOLC1",2,1,0,1,0,0,"CTSO",2,1,0,0,1
"41","NONO",2,0,0,1,1,0,"CYP27A1",2,1,1,0,0
"42","PABPC1",2,1,0,1,0,1,"DAG1",2,1,0,1,0
"43","PAICS",2,1,1,0,0,0,"DDR1",2,1,0,1,0
"44","PFN1",2,1,0,1,0,0,"EEA1",2,1,0,1,0
"45","POLD2",2,1,1,0,0,0,"EMP1",2,1,0,1,0
"46","PPA1",2,1,0,1,0,0,"EVA1A",2,1,0,1,0
"47","PTMA",2,1,0,1,0,1,"FBXO32",2,1,0,1,0
"48","PUF60",2,1,1,0,0,0,"FGFR1",2,1,0,1,0
"49","RPL10A",2,1,0,1,0,1,"GAA",2,1,0,1,0
"50","RPL11",2,1,0,1,0,0,"GPNMB",2,1,0,1,0
"51","RPL12",2,1,0,1,0,0,"GSN",2,1,0,1,0
"52","RPL13",2,1,0,1,0,1,"HLA-F",2,1,0,1,0
"53","RPL13A",2,1,0,1,0,0,"HSPA1A",2,1,0,1,0
"54","RPL13AP5",2,1,0,1,0,0,"IRF4",2,1,1,0,0
"55","RPL17",2,1,0,1,0,0,"ITGA3",2,1,0,1,0
"56","RPL18",2,1,0,1,0,0,"KCNN4",2,1,0,1,0
"57","RPL18A",2,1,0,1,0,0,"KLF4",2,0,0,1,1
"58","RPL21",2,1,0,1,0,0,"LEF1-AS1",2,1,0,0,1
"59","RPL26",2,1,0,1,0,0,"LRPAP1",2,1,0,1,0
"60","RPL27",2,1,0,0,1,0,"MFGE8",2,1,0,1,0
"61","RPL28",2,1,0,1,0,1,"MIA",2,1,0,1,0
"62","RPL29",2,1,0,1,0,1,"MT2A",2,1,0,1,0
"63","RPL3",2,1,0,1,0,1,"NEAT1",2,1,0,1,0
"64","RPL36",2,1,0,0,1,1,"NPC1",2,1,0,1,0
"65","RPL36A",2,1,0,1,0,0,"NSG1",2,1,0,1,0
"66","RPL37",2,1,0,1,0,0,"PROS1",2,1,0,1,0
"67","RPL4",2,1,0,1,0,0,"S100A6",2,1,0,1,0
"68","RPL5",2,1,0,1,0,1,"S100B",2,1,0,1,0
"69","RPL6",2,1,0,1,0,0,"SAT1",2,1,0,1,0
"70","RPL8",2,1,0,1,0,0,"SCARB2",2,1,0,1,0
"71","RPLP0",2,1,0,1,0,1,"SDC3",2,1,0,1,0
"72","RPLP1",2,1,0,1,0,1,"SEC11C",2,1,1,0,0
"73","RPS10",2,1,0,1,0,0,"SERPINA3",2,1,0,1,0
"74","RPS11",2,1,0,1,0,1,"SGK1",2,1,0,1,0
"75","RPS13",2,1,0,0,1,0,"SLC26A2",2,1,0,1,0
"76","RPS14",2,1,0,0,1,0,"SLC5A3",2,1,0,1,0
"77","RPS15",2,1,0,0,1,1,"STOM",2,0,0,1,1
"78","RPS15A",2,1,0,1,0,1,"STX7",2,1,1,0,0
"79","RPS16",2,1,0,1,0,0,"TAPBPL",2,0,0,1,1
"80","RPS17",2,1,0,1,0,0,"TIMP1",2,1,0,1,0
"81","RPS17L",2,1,0,1,0,0,"TIMP3",2,1,0,1,0
"82","RPS18",2,1,0,1,0,0,"TM4SF1",2,1,0,1,0
"83","RPS19",2,1,0,1,0,0,"TMED10",2,1,0,1,0
"84","RPS23",2,1,0,1,0,0,"TPP1",2,1,0,1,0
"85","RPS24",2,1,0,1,0,0,"TSC22D3",2,1,0,1,0
"86","RPS27",2,1,0,1,0,1,"TYR",2,1,0,1,0
"87","RPS28",2,1,0,0,1,1,"UBC",2,1,0,1,0
"88","RPS3",2,1,0,1,0,1,"VAT1",2,1,0,0,1
"89","RPS4X",2,1,0,1,0,0,"WBP2",2,1,1,0,0
"90","RPS5",2,1,0,1,0,1,"XAGE1D",2,1,1,0,0
"91","RPS6",2,1,0,1,0,1,"ACSL4",1,0,0,1,0
"92","RPS7",2,1,0,1,0,1,"ACTA2",1,0,0,0,1
"93","RPS8",2,1,0,1,0,1,"ADM",1,0,0,1,0
"94","RPS9",2,1,0,1,0,1,"ANGPTL4",1,0,0,1,0
"95","RPSA",2,1,0,1,0,0,"ANXA1",1,0,0,1,0
"96","RRS1",2,1,1,0,0,0,"ANXA2",1,0,0,1,0
"97","SERPINF1",2,1,0,1,0,0,"APLP2",1,0,0,1,0
"98","SET",2,1,0,1,0,0,"APOL1",1,1,0,0,0
"99","SHMT2",2,1,0,1,0,0,"ARL6IP5",1,0,0,1,0
"100","SLC19A1",2,1,1,0,0,0,"ARSA",1,1,0,0,0
"101","SLC25A13",2,1,1,0,0,0,"ATF3",1,0,0,1,0
"102","SNHG6",2,1,0,1,0,0,"ATP1B3",1,0,0,1,0
"103","SNRPE",2,1,0,1,0,1,"ATP6V0C",1,1,0,0,0
"104","SOX4",2,1,0,1,0,1,"BACE2",1,0,0,1,0
"105","SSR2",2,1,0,1,0,0,"BBX",1,0,0,1,0
"106","TIMM50",2,1,0,1,0,0,"BCL6",1,0,0,1,0
"107","TOP1MT",2,1,1,0,0,0,"C4A",1,1,0,0,0
"108","TUBB",2,1,0,1,0,0,"C6orf226",1,0,0,0,1
"109","UQCRFS1",2,1,0,1,0,0,"CALU",1,0,0,1,0
"110","UQCRH",2,1,0,1,0,0,"CARD16",1,1,0,0,0
"111","VDAC2",2,1,0,1,0,0,"CASP1",1,0,0,1,0
"112","ACTB",1,0,0,1,0,1,"CAST",1,0,0,1,0
"113","AEN",1,0,0,1,0,0,"CAV1",1,0,0,1,0
"114","ANP32E",1,0,0,1,0,1,"CAV2",1,1,0,0,0
"115","APP",1,1,0,0,0,0,"CCND3",1,0,0,1,0
"116","ARMC6",1,0,0,0,1,0,"CCR10",1,0,0,0,1
"117","ATP5A1",1,0,0,1,0,0,"CD9",1,0,0,1,0
"118","ATP5D",1,1,0,0,0,0,"CDH1",1,1,0,0,0
"119","ATP5G2",1,0,0,1,0,0,"CHI3L1",1,0,0,1,0
"120","ATP5G3",1,1,0,0,0,0,"CITED1",1,0,0,0,1
"121","BOLA2",1,0,0,0,1,0,"CLIC4",1,0,0,1,0
"122","BOLA2B",1,0,0,0,1,0,"CORO1A",1,0,0,0,1
"123","BOP1",1,1,0,0,0,0,"CRELD1",1,0,0,1,0
"124","BTF3",1,1,0,0,0,0,"CRYAB",1,0,0,1,0
"125","C20orf112",1,0,0,1,0,0,"CSGALNACT1",1,0,0,1,0
"126","C6orf48",1,1,0,0,0,1,"CXCR4",1,0,0,0,1
"127","CA14",1,0,0,1,0,0,"CYP4V2",1,1,0,0,0
"128","CACYBP",1,1,0,0,0,0,"DCBLD2",1,0,0,1,0
"129","CBX5",1,0,0,1,0,0,"DDX17",1,0,0,0,1
"130","CCT2",1,0,0,1,0,0,"DDX5",1,0,0,1,0
"131","CCT4",1,1,0,0,0,1,"DPYSL2",1,0,0,1,0
"132","CCT7",1,1,0,0,0,0,"DUSP4",1,0,0,1,0
"133","CDC123",1,0,0,0,1,0,"DUSP6",1,0,0,1,0
"134","CDCA7",1,1,0,0,0,0,"ECM1",1,0,0,1,0
